#xspan Delta1 Delta2
-1.5000000000e+01 9.9998374056e-01 1.0000154903e+00
-1.4698500153e+01 9.9997525873e-01 1.0000234942e+00
-1.4400061218e+01 9.9996629701e-01 1.0000319547e+00
-1.4104683196e+01 9.9995612880e-01 1.0000415476e+00
-1.3812366085e+01 9.9994418131e-01 1.0000528042e+00
-1.3523109887e+01 9.9992990733e-01 1.0000662306e+00
-1.3236914601e+01 9.9991272252e-01 1.0000823651e+00
-1.2953780227e+01 9.9989196844e-01 1.0001018111e+00
-1.2673706765e+01 9.9986688513e-01 1.0001252620e+00
-1.2396694215e+01 9.9983658658e-01 1.0001535218e+00
-1.2122742577e+01 9.9980003604e-01 1.0001875259e+00
-1.1851851852e+01 9.9975601959e-01 1.0002283629e+00
-1.1584022039e+01 9.9970311708e-01 1.0002772983e+00
-1.1319253137e+01 9.9963966978e-01 1.0003357990e+00
-1.1057545148e+01 9.9956374424e-01 1.0004055621e+00
-1.0798898072e+01 9.9947309187e-01 1.0004885444e+00
-1.0543311907e+01 9.9936510392e-01 1.0005869954e+00
-1.0290786654e+01 9.9923676121e-01 1.0007034921e+00
-1.0041322314e+01 9.9908457853e-01 1.0008409774e+00
-9.7949188858e+00 9.9890454292e-01 1.0010027992e+00
-9.5515763698e+00 9.9869204590e-01 1.0011927531e+00
-9.3112947658e+00 9.9844180887e-01 1.0014151254e+00
-9.0740740741e+00 9.9814780171e-01 1.0016747385e+00
-8.8399142945e+00 9.9780315422e-01 1.0019769955e+00
-8.6088154270e+00 9.9740006023e-01 1.0023279253e+00
-8.3807774717e+00 9.9692967436e-01 1.0027342264e+00
-8.1558004285e+00 9.9638200157e-01 1.0032033076e+00
-7.9338842975e+00 9.9574577972e-01 1.0037433251e+00
-7.7150290787e+00 9.9500835563e-01 1.0043632140e+00
-7.4992347720e+00 9.9415555545e-01 1.0050727122e+00
-7.2865013774e+00 9.9317155032e-01 1.0058823751e+00
-7.0768288950e+00 9.9203871889e-01 1.0068035776e+00
-6.8702173248e+00 9.9073750846e-01 1.0078485034e+00
-6.6666666667e+00 9.8924629739e-01 1.0090301153e+00
-6.4661769207e+00 9.8754126153e-01 1.0103621078e+00
-6.2687480869e+00 9.8559624867e-01 1.0118588355e+00
-6.0743801653e+00 9.8338266529e-01 1.0135352178e+00
-5.8830731558e+00 9.8086938106e-01 1.0154066141e+00
-5.6948270585e+00 9.7802265718e-01 1.0174886704e+00
-5.5096418733e+00 9.7480610573e-01 1.0197971325e+00
-5.3275176002e+00 9.7118068803e-01 1.0223476261e+00
-5.1484542394e+00 9.6710476082e-01 1.0251554031e+00
-4.9724517906e+00 9.6253417988e-01 1.0282350538e+00
-4.7995102541e+00 9.5742247116e-01 1.0316001867e+00
-4.6296296296e+00 9.5172107967e-01 1.0352630797e+00
-4.4628099174e+00 9.4537970628e-01 1.0392343065e+00
-4.2990511172e+00 9.3834674170e-01 1.0435223443e+00
-4.1383532293e+00 9.3056980574e-01 1.0481331722e+00
-3.9807162534e+00 9.2199639750e-01 1.0530698696e+00
-3.8261401898e+00 9.1257465944e-01 1.0583322266e+00
-3.6746250383e+00 9.0225425396e-01 1.0639163817e+00
-3.5261707989e+00 8.9098734671e-01 1.0698144999e+00
-3.3807774717e+00 8.7872968490e-01 1.0760145107e+00
-3.2384450566e+00 8.6544175225e-01 1.0824999187e+00
-3.0991735537e+00 8.5108997628e-01 1.0892497074e+00
-2.9629629630e+00 8.3564795576e-01 1.0962383473e+00
-2.8298132844e+00 8.1909767090e-01 1.1034359230e+00
-2.6997245179e+00 8.0143063281e-01 1.1108083866e+00
-2.5726966636e+00 7.8264892550e-01 1.1183179425e+00
-2.4487297215e+00 7.6276609202e-01 1.1259235612e+00
-2.3278236915e+00 7.4180781786e-01 1.1335816146e+00
-2.2099785736e+00 7.1981236860e-01 1.1412466190e+00
-2.0951943679e+00 6.9683074644e-01 1.1488720647e+00
-1.9834710744e+00 6.7292654030e-01 1.1564113059e+00
-1.8748086930e+00 6.4817545712e-01 1.1638184809e+00
-1.7692072238e+00 6.2266453650e-01 1.1710494280e+00
-1.6666666667e+00 5.9649106556e-01 1.1780625641e+00
-1.5671870217e+00 5.6976122626e-01 1.1848196908e+00
-1.4707682890e+00 5.4258852049e-01 1.1912866992e+00
-1.3774104683e+00 5.1509202832e-01 1.1974341486e+00
-1.2871135598e+00 4.8739456357e-01 1.2032376995e+00
-1.1998775635e+00 4.5962079222e-01 1.2086783917e+00
-1.1157024793e+00 4.3189538037e-01 1.2137427636e+00
-1.0345883073e+00 4.0434123305e-01 1.2184228171e+00
-9.5653504744e-01 3.7707787750e-01 1.2227158419e+00
-8.8154269972e-01 3.5022003481e-01 1.2266241128e+00
-8.0961126416e-01 3.2387641166e-01 1.2301544847e+00
-7.4074074074e-01 2.9814873171e-01 1.2333179068e+00
-6.7493112948e-01 2.7313101446e-01 1.2361288807e+00
-6.1218243036e-01 2.4890909796e-01 1.2386048872e+00
-5.5249464340e-01 2.2556039292e-01 1.2407658018e+00
-4.9586776860e-01 2.0315384815e-01 1.2426333197e+00
-4.4230180594e-01 1.8175010197e-01 1.2442304057e+00
-3.9179675543e-01 1.6140179102e-01 1.2455807801e+00
-3.4435261708e-01 1.4215398653e-01 1.2467084512e+00
-2.9996939088e-01 1.2404472827e-01 1.2476372979e+00
-2.5864707683e-01 1.0710562772e-01 1.2483907065e+00
-2.2038567493e-01 9.1362514443e-02 1.2489912602e+00
-1.8518518519e-01 7.6836102554e-02 1.2494604799e+00
-1.5304560759e-01 6.3542657261e-02 1.2498186133e+00
-1.2396694215e-01 5.1494644881e-02 1.2500844664e+00
-9.7949188858e-02 4.0701352693e-02 1.2502752734e+00
-7.4992347720e-02 3.1169468108e-02 1.2504065982e+00
-5.5096418733e-02 2.2903608953e-02 1.2504922643e+00
-3.8261401898e-02 1.5906799017e-02 1.2505443047e+00
-2.4487297215e-02 1.0180884685e-02 1.2505729296e+00
-1.3774104683e-02 5.7268899203e-03 1.2505865067e+00
-6.1218243036e-03 2.5453078984e-03 1.2505915499e+00
-1.5304560759e-03 6.3632832976e-04 1.2505927138e+00
-0.0000000000e+00 1.6935086923e-18 1.2505927914e+00
