#xspan Delta1 Delta2
-1.5000000000e+01 9.9999952323e-01 1.0000003581e+00
-1.4848484848e+01 9.9999936503e-01 1.0000004762e+00
-1.4696969697e+01 9.9999920716e-01 1.0000005942e+00
-1.4545454545e+01 9.9999903951e-01 1.0000007195e+00
-1.4393939394e+01 9.9999885479e-01 1.0000008575e+00
-1.4242424242e+01 9.9999864684e-01 1.0000010126e+00
-1.4090909091e+01 9.9999840978e-01 1.0000011894e+00
-1.3939393939e+01 9.9999813750e-01 1.0000013921e+00
-1.3787878788e+01 9.9999782334e-01 1.0000016258e+00
-1.3636363636e+01 9.9999745983e-01 1.0000018959e+00
-1.3484848485e+01 9.9999703848e-01 1.0000022086e+00
-1.3333333333e+01 9.9999654954e-01 1.0000025710e+00
-1.3181818182e+01 9.9999598175e-01 1.0000029914e+00
-1.3030303030e+01 9.9999532210e-01 1.0000034792e+00
-1.2878787879e+01 9.9999455550e-01 1.0000040455e+00
-1.2727272727e+01 9.9999366445e-01 1.0000047029e+00
-1.2575757576e+01 9.9999262867e-01 1.0000054661e+00
-1.2424242424e+01 9.9999142457e-01 1.0000063523e+00
-1.2272727273e+01 9.9999002479e-01 1.0000073811e+00
-1.2121212121e+01 9.9998839755e-01 1.0000085755e+00
-1.1969696970e+01 9.9998650595e-01 1.0000099620e+00
-1.1818181818e+01 9.9998430713e-01 1.0000115715e+00
-1.1666666667e+01 9.9998175132e-01 1.0000134395e+00
-1.1515151515e+01 9.9997878074e-01 1.0000156075e+00
-1.1363636364e+01 9.9997532829e-01 1.0000181233e+00
-1.1212121212e+01 9.9997131607e-01 1.0000210424e+00
-1.1060606061e+01 9.9996665366e-01 1.0000244289e+00
-1.0909090909e+01 9.9996123608e-01 1.0000283574e+00
-1.0757575758e+01 9.9995494150e-01 1.0000329138e+00
-1.0606060606e+01 9.9994762852e-01 1.0000381979e+00
-1.0454545455e+01 9.9993913306e-01 1.0000443251e+00
-1.0303030303e+01 9.9992926473e-01 1.0000514288e+00
-1.0151515152e+01 9.9991780264e-01 1.0000596634e+00
-1.0000000000e+01 9.9990449055e-01 1.0000692075e+00
-9.8484848485e+00 9.9988903124e-01 1.0000802675e+00
-9.6969696970e+00 9.9987107999e-01 1.0000930822e+00
-9.5454545455e+00 9.9985023705e-01 1.0001079273e+00
-9.3939393939e+00 9.9982603891e-01 1.0001251216e+00
-9.2424242424e+00 9.9979794819e-01 1.0001450330e+00
-9.0909090909e+00 9.9976534194e-01 1.0001680867e+00
-8.9393939394e+00 9.9972749814e-01 1.0001947732e+00
-8.7878787879e+00 9.9968358005e-01 1.0002256587e+00
-8.6363636364e+00 9.9963261807e-01 1.0002613963e+00
-8.4848484848e+00 9.9957348888e-01 1.0003027390e+00
-8.3333333333e+00 9.9950489119e-01 1.0003505551e+00
-8.1818181818e+00 9.9942531781e-01 1.0004058450e+00
-8.0303030303e+00 9.9933302332e-01 1.0004697609e+00
-7.8787878788e+00 9.9922598675e-01 1.0005436295e+00
-7.7272727273e+00 9.9910186843e-01 1.0006289776e+00
-7.5757575758e+00 9.9895796021e-01 1.0007275612e+00
-7.4242424242e+00 9.9879112797e-01 1.0008413994e+00
-7.2727272727e+00 9.9859774521e-01 1.0009728122e+00
-7.1212121212e+00 9.9837361655e-01 1.0011244639e+00
-6.9696969697e+00 9.9811388936e-01 1.0012994123e+00
-6.8181818182e+00 9.9781295194e-01 1.0015011646e+00
-6.6666666667e+00 9.9746431613e-01 1.0017337410e+00
-6.5151515152e+00 9.9706048205e-01 1.0020017459e+00
-6.3636363636e+00 9.9659278237e-01 1.0023104486e+00
-6.2121212121e+00 9.9605120300e-01 1.0026658748e+00
-6.0606060606e+00 9.9542417690e-01 1.0030749085e+00
-5.9090909091e+00 9.9469834693e-01 1.0035454068e+00
-5.7575757576e+00 9.9385829350e-01 1.0040863277e+00
-5.6060606061e+00 9.9288622198e-01 1.0047078731e+00
-5.4545454545e+00 9.9176160422e-01 1.0054216471e+00
-5.3030303030e+00 9.9046076806e-01 1.0062408305e+00
-5.1515151515e+00 9.8895642778e-01 1.0071803739e+00
-5.0000000000e+00 9.8721714803e-01 1.0082572071e+00
-4.8484848485e+00 9.8520673279e-01 1.0094904682e+00
-4.6969696970e+00 9.8288353071e-01 1.0109017489e+00
-4.5454545455e+00 9.8019964743e-01 1.0125153575e+00
-4.3939393939e+00 9.7710005536e-01 1.0143585947e+00
-4.2424242424e+00 9.7352159194e-01 1.0164620420e+00
-4.0909090909e+00 9.6939183773e-01 1.0188598536e+00
-3.9393939394e+00 9.6462786804e-01 1.0215900479e+00
-3.7878787879e+00 9.5913487447e-01 1.0246947861e+00
-3.6363636364e+00 9.5280465792e-01 1.0282206259e+00
-3.4848484848e+00 9.4551400217e-01 1.0322187322e+00
-3.3333333333e+00 9.3712294827e-01 1.0367450219e+00
-3.1818181818e+00 9.2747300569e-01 1.0418602162e+00
-3.0303030303e+00 9.1638535876e-01 1.0476297656e+00
-2.8787878788e+00 9.0365915718e-01 1.0541236055e+00
-2.7272727273e+00 8.8907002101e-01 1.0614156959e+00
-2.5757575758e+00 8.7236894487e-01 1.0695832885e+00
-2.4242424242e+00 8.5328185756e-01 1.0787058611e+00
-2.2727272727e+00 8.3151018322e-01 1.0888636550e+00
-2.1212121212e+00 8.0673286086e-01 1.1001357502e+00
-1.9696969697e+00 7.7861040958e-01 1.1125976188e+00
-1.8181818182e+00 7.4679176904e-01 1.1263181050e+00
-1.6666666667e+00 7.1092478118e-01 1.1413557900e+00
-1.5151515152e+00 6.7067126640e-01 1.1577547016e+00
-1.3636363636e+00 6.2572761880e-01 1.1755392911e+00
-1.2121212121e+00 5.7585151497e-01 1.1947085257e+00
-1.0606060606e+00 5.2089465000e-01 1.2152284395e+00
-9.0909090909e-01 4.6083938001e-01 1.2370228968e+00
-7.5757575758e-01 3.9583587105e-01 1.2599559823e+00
-6.0606060606e-01 3.2622662703e-01 1.2838204854e+00
-4.5454545455e-01 2.5255851793e-01 1.3082342127e+00
-3.0303030303e-01 1.7551634177e-01 1.3328277559e+00
-1.5151515152e-01 9.5887215248e-02 1.3558940362e+00
0.0000000000e+00 1.4222087798e-02 1.3794016418e+00
