#xspan jy
-1.5000000000e+01 9.5906977980e-07
-1.4848484848e+01 9.7312211817e-07
-1.4696969697e+01 1.0392146532e-06
-1.4545454545e+01 1.1394252029e-06
-1.4393939394e+01 1.2684608251e-06
-1.4242424242e+01 1.4262371076e-06
-1.4090909091e+01 1.6143433470e-06
-1.3939393939e+01 1.8353727884e-06
-1.3787878788e+01 2.0928653102e-06
-1.3636363636e+01 2.3919311776e-06
-1.3484848485e+01 2.7383699889e-06
-1.3333333333e+01 3.1385021786e-06
-1.3181818182e+01 3.5997869904e-06
-1.3030303030e+01 4.1312030725e-06
-1.2878787879e+01 4.7425665066e-06
-1.2727272727e+01 5.4458240925e-06
-1.2575757576e+01 6.2545424041e-06
-1.2424242424e+01 7.1840539690e-06
-1.2272727273e+01 8.2519901089e-06
-1.2121212121e+01 9.4790824799e-06
-1.1969696970e+01 1.0888390288e-05
-1.1818181818e+01 1.2507012868e-05
-1.1666666667e+01 1.4365409244e-05
-1.1515151515e+01 1.6499269110e-05
-1.1363636364e+01 1.8948765463e-05
-1.1212121212e+01 2.1760282099e-05
-1.1060606061e+01 2.4987103329e-05
-1.0909090909e+01 2.8689861660e-05
-1.0757575758e+01 3.2938811651e-05
-1.0606060606e+01 3.7813213679e-05
-1.0454545455e+01 4.3405304175e-05
-1.0303030303e+01 4.9819273605e-05
-1.0151515152e+01 5.7175414138e-05
-1.0000000000e+01 6.5610941508e-05
-9.8484848485e+00 7.5282901062e-05
-9.6969696970e+00 8.6371212005e-05
-9.5454545455e+00 9.9081481865e-05
-9.3939393939e+00 1.1364868919e-04
-9.2424242424e+00 1.3034180877e-04
-9.0909090909e+00 1.4946790398e-04
-8.9393939394e+00 1.7137802899e-04
-8.7878787879e+00 1.9647305512e-04
-8.6363636364e+00 2.2521058381e-04
-8.4848484848e+00 2.5811323270e-04
-8.3333333333e+00 2.9577696387e-04
-8.1818181818e+00 3.3888105698e-04
-8.0303030303e+00 3.8820047220e-04
-7.8787878788e+00 4.4461773664e-04
-7.7272727273e+00 5.0913759527e-04
-7.5757575758e+00 5.8290316354e-04
-7.4242424242e+00 6.6721501345e-04
-7.2727272727e+00 7.6355019382e-04
-7.1212121212e+00 8.7358634024e-04
-6.9696969697e+00 9.9922615672e-04
-6.8181818182e+00 1.1426263761e-03
-6.6666666667e+00 1.3062285444e-03
-6.5151515152e+00 1.4927937208e-03
-6.3636363636e+00 1.7054403695e-03
-6.2121212121e+00 1.9476854890e-03
-6.0606060606e+00 2.2234887758e-03
-5.9090909091e+00 2.5373021151e-03
-5.7575757576e+00 2.8941194481e-03
-5.6060606061e+00 3.2995317424e-03
-5.4545454545e+00 3.7597828687e-03
-5.3030303030e+00 4.2818266810e-03
-5.1515151515e+00 4.8733843329e-03
-5.0000000000e+00 5.5429995860e-03
-4.8484848485e+00 6.3000884828e-03
-4.6969696970e+00 7.1549825176e-03
-4.5454545455e+00 8.1189587367e-03
-4.3939393939e+00 9.2042529702e-03
-4.2424242424e+00 1.0424048512e-02
-4.0909090909e+00 1.1792433198e-02
-3.9393939394e+00 1.3324313815e-02
-3.7878787879e+00 1.5035277231e-02
-3.6363636364e+00 1.6941383184e-02
-3.4848484848e+00 1.9058874572e-02
-3.3333333333e+00 2.1403786210e-02
-3.1818181818e+00 2.3991435269e-02
-3.0303030303e+00 2.6835773277e-02
-2.8787878788e+00 2.9948582344e-02
-2.7272727273e+00 3.3338503591e-02
-2.5757575758e+00 3.7009889699e-02
-2.4242424242e+00 4.0961488257e-02
-2.2727272727e+00 4.5184977961e-02
-2.1212121212e+00 4.9663405904e-02
-1.9696969697e+00 5.4369602572e-02
-1.8181818182e+00 5.9264690706e-02
-1.6666666667e+00 6.4296844955e-02
-1.5151515152e+00 6.9400494036e-02
-1.3636363636e+00 7.4496194094e-02
-1.2121212121e+00 7.9491401757e-02
-1.0606060606e+00 8.4282355286e-02
-9.0909090909e-01 8.8757201669e-02
-7.5757575758e-01 9.2800388153e-02
-6.0606060606e-01 9.6298171648e-02
-4.5454545455e-01 9.9144908396e-02
-3.0303030303e-01 1.0124960270e-01
-1.5151515152e-01 1.0254205880e-01
0.0000000000e+00 1.0297793330e-01
