#xspan jy
-1.5000000000e+01 4.1567800536e-08
-1.4848484848e+01 4.1100617739e-08
-1.4696969697e+01 4.4632167854e-08
-1.4545454545e+01 4.9960738141e-08
-1.4393939394e+01 5.7113904348e-08
-1.4242424242e+01 6.6172358923e-08
-1.4090909091e+01 7.7253918729e-08
-1.3939393939e+01 9.0239964385e-08
-1.3787878788e+01 1.0544568527e-07
-1.3636363636e+01 1.2336985998e-07
-1.3484848485e+01 1.4447488531e-07
-1.3333333333e+01 1.6959626951e-07
-1.3181818182e+01 1.9920628291e-07
-1.3030303030e+01 2.3424112804e-07
-1.2878787879e+01 2.7554859240e-07
-1.2727272727e+01 3.2409723409e-07
-1.2575757576e+01 3.8125058334e-07
-1.2424242424e+01 4.4846909102e-07
-1.2272727273e+01 5.2745039328e-07
-1.2121212121e+01 6.2053449485e-07
-1.1969696970e+01 7.3025635222e-07
-1.1818181818e+01 8.5937666910e-07
-1.1666666667e+01 1.0115062936e-06
-1.1515151515e+01 1.1904275928e-06
-1.1363636364e+01 1.4012055960e-06
-1.1212121212e+01 1.6493296827e-06
-1.1060606061e+01 1.9416703229e-06
-1.0909090909e+01 2.2860689054e-06
-1.0757575758e+01 2.6917256339e-06
-1.0606060606e+01 3.1695865670e-06
-1.0454545455e+01 3.7324705690e-06
-1.0303030303e+01 4.3959681050e-06
-1.0151515152e+01 5.1774467291e-06
-1.0000000000e+01 6.0985466287e-06
-9.8484848485e+00 7.1840533263e-06
-9.6969696970e+00 8.4634086862e-06
-9.5454545455e+00 9.9714961967e-06
-9.3939393939e+00 1.1749163267e-05
-9.2424242424e+00 1.3844857730e-05
-9.0909090909e+00 1.6315788954e-05
-8.9393939394e+00 1.9229265567e-05
-8.7878787879e+00 2.2664882375e-05
-8.6363636364e+00 2.6716813547e-05
-8.4848484848e+00 3.1495488463e-05
-8.3333333333e+00 3.7132147278e-05
-8.1818181818e+00 4.3781511034e-05
-8.0303030303e+00 5.1625888628e-05
-7.8787878788e+00 6.0881010466e-05
-7.7272727273e+00 7.1801427034e-05
-7.5757575758e+00 8.4688107379e-05
-7.4242424242e+00 9.9896193767e-05
-7.2727272727e+00 1.1784556346e-04
-7.1212121212e+00 1.3903207211e-04
-6.9696969697e+00 1.6404171359e-04
-6.8181818182e+00 1.9356657443e-04
-6.6666666667e+00 2.2842504322e-04
-6.5151515152e+00 2.6958367509e-04
-6.3636363636e+00 3.1818505877e-04
-6.2121212121e+00 3.7557957411e-04
-6.0606060606e+00 4.4336285795e-04
-5.9090909091e+00 5.2342120409e-04
-5.7575757576e+00 6.1798372123e-04
-5.6060606061e+00 7.2968514053e-04
-5.4545454545e+00 8.6163937270e-04
-5.3030303030e+00 1.0175264819e-03
-5.1515151515e+00 1.2016953080e-03
-5.0000000000e+00 1.4192848880e-03
-4.8484848485e+00 1.6763663616e-03
-4.6969696970e+00 1.9801121234e-03
-4.5454545455e+00 2.3389928122e-03
-4.3939393939e+00 2.7630102151e-03
-4.2424242424e+00 3.2639703001e-03
-4.0909090909e+00 3.8558031071e-03
-3.9393939394e+00 4.5549373223e-03
-3.7878787879e+00 5.3807387118e-03
-3.6363636364e+00 6.3560189774e-03
-3.4848484848e+00 7.5076300716e-03
-3.3333333333e+00 8.8671512122e-03
-3.1818181818e+00 1.0471684376e-02
-3.0303030303e+00 1.2364770839e-02
-2.8787878788e+00 1.4597444856e-02
-2.7272727273e+00 1.7229442012e-02
-2.5757575758e+00 2.0330582795e-02
-2.4242424242e+00 2.3982359294e-02
-2.2727272727e+00 2.8279758749e-02
-2.1212121212e+00 3.3333377607e-02
-1.9696969697e+00 3.9271903151e-02
-1.8181818182e+00 4.6245079736e-02
-1.6666666667e+00 5.4427329373e-02
-1.5151515152e+00 6.4022286313e-02
-1.3636363636e+00 7.5268481342e-02
-1.2121212121e+00 8.8446831076e-02
-1.0606060606e+00 1.0388874492e-01
-9.0909090909e-01 1.2198978009e-01
-7.5757575758e-01 1.4320520501e-01
-6.0606060606e-01 1.6812260141e-01
-4.5454545455e-01 1.9723820460e-01
-3.0303030303e-01 2.3203755232e-01
-1.5151515152e-01 2.7073446035e-01
0.0000000000e+00 3.2641133008e-01
